Date,Open_FCHI,High_FCHI,Low_FCHI,Close_FCHI,Adj Close_FCHI,Volume_FCHI,Open_IRX,High_IRX,Low_IRX,Close_IRX,Adj Close_IRX,Volume_IRX,Open_FP,High_FP,Low_FP,Close_FP,Adj Close_FP,Volume_FP,Open_VIV,High_VIV,Low_VIV,Close_VIV,Adj Close_VIV,Volume_VIV
2017-10-24,5377.859863,5413.029785,5377.859863,5394.799805,5394.799805,74560600,1.098,1.098,1.098,1.098,1.098,0,46.044998,46.595001,46.040001,46.355,44.112892,4171976,20.469999,20.66,20.355,20.49,20.063322,3158474
2017-10-25,5399.609863,5416.540039,5364.160156,5374.890137,5374.890137,80466800,1.095,1.098,1.08,1.083,1.083,0,46.325001,46.459999,45.875,45.900002,43.679897,4501746,20.424999,20.620001,20.385,20.495001,20.068218,2268750
2017-10-26,5383.439941,5459.609863,5375.259766,5455.399902,5455.399902,90950700,1.08,1.083,1.075,1.08,1.08,0,45.994999,46.575001,45.799999,46.575001,44.322254,5488319,20.549999,20.74,20.41,20.695,20.264053,2547526
2017-10-27,5470.339844,5513.529785,5470.240234,5494.129883,5494.129883,95585200,1.075,1.075,1.073,1.073,1.073,0,46.59,47.625,46.490002,47.27,44.983635,8383356,20.75,20.75,20.445,20.555,20.126968,3358376
2017-10-30,5488.330078,5507.560059,5487.290039,5493.629883,5493.629883,67428800,1.073,1.08,1.073,1.075,1.075,0,47.32,47.799999,47.305,47.77,45.459454,4539583,20.530001,21.059999,20.52,21.02,20.582287,3474979
2017-10-31,5492.629883,5511.25,5489.410156,5503.290039,5503.290039,75164700,1.12,1.123,1.118,1.123,1.123,0,47.945,48.165001,47.705002,47.869999,45.554611,4854922,21.125,21.415001,21.049999,21.325001,20.880936,3308917
2017-11-01,5524.379883,5536.399902,5514.290039,5514.290039,5514.290039,75303700,1.123,1.138,1.123,1.138,1.138,0,48.195,48.544998,48.139999,48.279999,45.944778,4926962,21.34,21.754999,21.280001,21.719999,21.267708,3692862
2017-11-02,5510.959961,5520.810059,5486.240234,5510.5,5510.5,70253200,1.133,1.143,1.133,1.138,1.138,0,48.34,48.494999,48.009998,48.459999,46.116074,4853655,21.75,21.795,21.575001,21.695,21.243229,2417071
2017-11-03,5513.470215,5521.919922,5498.290039,5517.970215,5517.970215,75125000,1.135,1.148,1.135,1.148,1.148,0,48.645,48.68,48.095001,48.474998,46.130348,4369670,21.735001,21.790001,21.549999,21.74,21.287292,1923826
2017-11-06,5507.069824,5513.310059,5492.899902,5507.25,5507.25,70213800,1.158,1.16,1.153,1.158,1.158,0,48.48,48.705002,48.32,48.615002,46.263584,4225760,21.700001,21.780001,21.594999,21.605,21.155104,1753668
2017-11-07,5521.75,5525.549805,5475.919922,5480.640137,5480.640137,78339100,1.185,1.208,1.185,1.188,1.188,0,48.900002,49.334999,48.884998,48.889999,46.525276,7390785,21.700001,21.700001,21.4,21.4,20.954372,1722246
2017-11-08,5487.529785,5496.080078,5452.200195,5471.430176,5471.430176,92596200,1.188,1.2,1.188,1.195,1.195,0,48.884998,49.084999,48.720001,48.924999,46.558586,4628480,21.475,21.48,21.110001,21.184999,20.743849,2869651
2017-11-09,5470.180176,5479.700195,5401.430176,5407.75,5407.75,98897900,1.205,1.228,1.203,1.203,1.203,0,48.849998,49.209999,48.419998,48.564999,46.215996,5705782,21.125,21.25,20.924999,20.945,20.508846,2521420
2017-11-10,5405.549805,5415.879883,5375.120117,5380.720215,5380.720215,84901400,1.205,1.205,1.2,1.2,1.2,0,48.599998,48.84,47.875,48.049999,45.725903,5468813,21.014999,21.035,20.655001,20.875,20.440306,2474909
2017-11-13,5382.649902,5384.759766,5301.02002,5341.629883,5341.629883,84572600,1.2,1.2,1.18,1.185,1.185,0,48.09,48.215,47.165001,47.580002,45.278641,5619650,20.879999,21.184999,20.559999,20.77,20.337492,3282897
2017-11-14,5345.299805,5365.640137,5301.569824,5315.580078,5315.580078,90263700,1.228,1.24,1.228,1.24,1.24,0,47.34,47.485001,46.665001,46.935001,44.664841,6877396,21.299999,21.674999,21.125,21.625,21.174686,7007619
2017-11-15,5301.140137,5312.390137,5267.220215,5301.25,5301.25,94175400,1.233,1.245,1.23,1.23,1.23,0,46.43,46.685001,46.07,46.305,44.065311,6523552,21.610001,21.690001,21.110001,21.110001,20.670412,4822459
2017-11-16,5325.410156,5345.22998,5312.870117,5336.390137,5336.390137,74296300,1.223,1.235,1.223,1.23,1.23,0,46.525002,46.575001,46.07,46.299999,44.060551,4764514,21.129999,21.74,21.129999,21.66,21.208958,4271164
2017-11-17,5335.850098,5350.25,5304.350098,5319.169922,5319.169922,88650100,1.23,1.24,1.23,1.24,1.24,0,46.235001,46.634998,45.955002,46.285,44.046272,5571254,21.200001,22.83,21.02,22.610001,22.139175,11434471
2017-11-20,5311.279785,5348.149902,5302.850098,5340.450195,5340.450195,66757000,1.24,1.245,1.235,1.24,1.24,0,46.285,46.610001,46.16,46.48,44.231846,4064633,22.645,22.889999,22.49,22.860001,22.38397,4982026
2017-11-21,5335.839844,5385.859863,5326.859863,5366.149902,5366.149902,74777300,1.283,1.29,1.275,1.278,1.278,0,46.435001,47.25,46.369999,46.924999,44.655323,5697374,22.799999,23.209999,22.700001,23.15,22.667931,4339881
2017-11-22,5364.609863,5391.009766,5352.759766,5352.759766,5352.759766,67526600,1.275,1.278,1.255,1.265,1.265,0,47.134998,47.595001,47.035,47.27,44.983635,5471192,23.055,23.245001,22.969999,23.09,22.60918,3102827
2017-11-24,5374.399902,5419.879883,5374.399902,5390.459961,5390.459961,54357200,1.263,1.263,1.235,1.24,1.24,0,47.349998,47.759998,47.235001,47.349998,45.059765,2730546,23.135,23.395,22.98,23.275,22.790327,3118114
2017-11-27,5378.959961,5408.470215,5359.390137,5360.089844,5360.089844,62120700,1.243,1.243,1.223,1.223,1.223,0,47.169998,47.645,47.014999,47.264999,44.978874,4246340,22.905001,23.264999,22.844999,22.99,22.511263,3319044
2017-11-28,5366.379883,5398.189941,5357.279785,5390.47998,5390.47998,65960000,1.27,1.27,1.265,1.265,1.265,0,47.290001,47.810001,47.290001,47.509998,45.212025,5585631,22.985001,23.135,22.764999,22.834999,22.359489,2985920
2017-11-29,5416.490234,5441.689941,5394.890137,5398.049805,5398.049805,92621500,1.265,1.265,1.25,1.258,1.258,0,47.860001,48.029999,47.240002,47.705002,45.397594,4980951,22.924999,22.940001,22.684999,22.709999,22.237093,3864458
2017-11-30,5402.660156,5429.649902,5372.589844,5372.790039,5372.790039,128032500,1.263,1.263,1.238,1.238,1.238,0,47.674999,47.924999,47.404999,47.404999,45.112103,7228468,22.780001,22.780001,22.365,22.365,21.899277,6352830
2017-12-01,5374.129883,5378.319824,5299.060059,5316.890137,5316.890137,99908800,1.238,1.255,1.23,1.235,1.235,0,47.689999,48.025002,47.035,47.395,45.102589,6722533,22.334999,22.389999,22.030001,22.049999,21.590836,3572787
2017-12-04,5363.290039,5400.100098,5350.589844,5389.290039,5389.290039,81907500,1.238,1.25,1.238,1.245,1.245,0,47.599998,47.82,47.259998,47.82,45.50703,5762259,22.24,22.365,21.975,22.094999,21.634899,3107993
2017-12-05,5382.22998,5392.47998,5349.790039,5375.529785,5375.529785,77844600,1.263,1.283,1.26,1.283,1.283,0,47.779999,48.014999,47.435001,47.435001,45.140652,4737308,22.055,22.174999,21.940001,22.094999,21.634899,2588131
2017-12-06,5333.319824,5385.529785,5316.549805,5374.350098,5374.350098,78019500,1.285,1.29,1.263,1.263,1.263,0,47.290001,47.59,47.095001,47.365002,45.074043,5213358,22.014999,22.110001,21.795,22.059999,21.600628,2413364
2017-12-07,5374.569824,5396.310059,5365.75,5383.859863,5383.859863,81173900,1.26,1.27,1.25,1.26,1.26,0,47.25,47.790001,47.25,47.459999,45.164444,4280283,22.07,22.344999,21.98,22.0,21.541878,2727538
2017-12-08,5411.910156,5425.75,5393.560059,5399.089844,5399.089844,90629200,1.263,1.263,1.253,1.253,1.253,0,47.555,47.575001,46.875,47.025002,44.750484,7007107,22.135,22.285,22.110001,22.195,21.732817,2495579
2017-12-11,5411.709961,5411.709961,5382.5,5386.830078,5386.830078,68771400,1.25,1.265,1.25,1.263,1.263,0,47.049999,47.16,46.865002,47.09,44.81234,5691756,22.25,23.059999,22.219999,22.799999,22.325218,4668221
2017-12-12,5394.930176,5427.189941,5359.759766,5427.189941,5427.189941,80840200,1.313,1.313,1.31,1.31,1.31,0,47.25,47.900002,47.209999,47.775002,45.464211,7039100,22.855,22.959999,22.620001,22.9,22.423136,3496912
