Date,Price
2019-11-30 00:00:00+00:00,186
2020-01-23 15:59:59+00:00,261
2020-03-18 07:59:58+00:00,302
2020-05-11 23:59:57+00:00,372
2020-07-05 15:59:56+00:00,399
2020-08-29 07:59:55+00:00,412
2020-10-22 23:59:54+00:00,488
2020-12-16 15:59:53+00:00,490
2021-02-09 07:59:52+00:00,523
2021-04-04 23:59:51+00:00,532
2021-05-29 15:59:50+00:00,568
2021-07-23 07:59:49+00:00,482
2021-09-15 23:59:48+00:00,523
2021-11-09 15:59:47+00:00,512
2022-01-03 07:59:46+00:00,568
2022-02-26 23:59:45+00:00,549
2022-04-22 15:59:44+00:00,580
2022-06-16 07:59:43+00:00,555
2022-08-09 23:59:42+00:00,550
2022-10-03 15:59:41+00:00,512
2022-11-27 07:59:40+00:00,523
2023-01-20 23:59:39+00:00,470
2023-03-16 15:59:38+00:00,418
2023-05-10 07:59:37+00:00,490
2023-07-03 23:59:36+00:00,425
2023-08-27 15:59:35+00:00,501
2023-10-21 07:59:34+00:00,435
