Date,Price
2019-11-30 00:00:00+00:00,195
2020-01-17 03:05:48+00:00,276
2020-03-05 06:11:36+00:00,312
2020-04-22 09:17:24+00:00,370
2020-06-09 12:23:12+00:00,438
2020-07-27 15:29:00+00:00,463
2020-09-13 18:34:48+00:00,492
2020-10-31 21:40:36+00:00,564
2020-12-19 00:46:24+00:00,601
2021-02-05 03:52:12+00:00,610
2021-03-25 06:58:00+00:00,633
2021-05-12 10:03:48+00:00,696
2021-06-29 13:09:36+00:00,620
2021-08-16 16:15:24+00:00,674
2021-10-03 19:21:12+00:00,617
2021-11-20 22:27:00+00:00,548
2022-01-08 01:32:48+00:00,575
2022-02-25 04:38:36+00:00,572
2022-04-14 07:44:24+00:00,603
2022-06-01 10:50:12+00:00,538
2022-07-19 13:56:00+00:00,564
2022-09-05 17:01:48+00:00,587
2022-10-23 20:07:36+00:00,544
2022-12-10 23:13:24+00:00,536
2023-01-28 02:19:12+00:00,495
2023-03-17 05:25:00+00:00,450
2023-05-04 08:30:48+00:00,421
2023-06-21 11:36:36+00:00,436
2023-08-08 14:42:24+00:00,517
2023-09-25 17:48:12+00:00,412
2023-11-12 20:54:00+00:00,450
