Date,Price
2020-03-05 00:00:00+00:00,206
2020-03-05 11:10:00+00:00,220
2020-03-05 22:20:00+00:00,219
2020-03-06 09:30:00+00:00,224
2020-03-06 20:40:00+00:00,195
2020-03-07 07:50:00+00:00,218
2020-03-07 19:00:00+00:00,210
2020-03-08 06:10:00+00:00,219
2020-03-08 17:20:00+00:00,221
2020-03-09 04:30:00+00:00,229
2020-03-09 15:40:00+00:00,232
2020-03-10 02:50:00+00:00,231
2020-03-10 14:00:00+00:00,233
2020-03-11 01:10:00+00:00,230
2020-03-11 12:20:00+00:00,233
2020-03-11 23:30:00+00:00,225
2020-03-12 10:40:00+00:00,223
2020-03-12 21:50:00+00:00,212
2020-03-13 09:00:00+00:00,217
2020-03-13 20:10:00+00:00,203
2020-03-14 07:20:00+00:00,220
2020-03-14 18:30:00+00:00,208
2020-03-15 05:40:00+00:00,212
2020-03-15 16:50:00+00:00,199
2020-03-16 04:00:00+00:00,221
2020-03-16 15:10:00+00:00,218
2020-03-17 02:20:00+00:00,230
2020-03-17 13:30:00+00:00,225
2020-03-18 00:40:00+00:00,215
2020-03-18 11:50:00+00:00,207
2020-03-18 23:00:00+00:00,212
2020-03-19 10:10:00+00:00,211
2020-03-19 21:20:00+00:00,206
2020-03-20 08:30:00+00:00,196
2020-03-20 19:40:00+00:00,187
2020-03-21 06:50:00+00:00,210
2020-03-21 18:00:00+00:00,203
2020-03-22 05:10:00+00:00,214
2020-03-22 16:20:00+00:00,203
2020-03-23 03:30:00+00:00,203
2020-03-23 14:40:00+00:00,204
2020-03-24 01:50:00+00:00,186
2020-03-24 13:00:00+00:00,209
2020-03-25 00:10:00+00:00,191
2020-03-25 11:20:00+00:00,221
2020-03-25 22:30:00+00:00,204
2020-03-26 09:40:00+00:00,211
2020-03-26 20:50:00+00:00,192
2020-03-27 08:00:00+00:00,206
2020-03-27 19:10:00+00:00,200
2020-03-28 06:20:00+00:00,205
2020-03-28 17:30:00+00:00,201
2020-03-29 04:40:00+00:00,246
2020-03-29 15:50:00+00:00,211
2020-03-30 03:00:00+00:00,213
2020-03-30 14:10:00+00:00,224
2020-03-31 01:20:00+00:00,201
2020-03-31 12:30:00+00:00,193
2020-03-31 23:40:00+00:00,190
2020-04-01 10:50:00+00:00,190
2020-04-01 22:00:00+00:00,200
2020-04-02 09:10:00+00:00,218
2020-04-02 20:20:00+00:00,194
2020-04-03 07:30:00+00:00,189
2020-04-03 18:40:00+00:00,192
2020-04-04 05:50:00+00:00,201
2020-04-04 17:00:00+00:00,195
2020-04-05 04:10:00+00:00,195
2020-04-05 15:20:00+00:00,190
2020-04-06 02:30:00+00:00,190
2020-04-06 13:40:00+00:00,212
