Date,Price
2019-11-16 00:00:00+00:00,494
2019-12-12 13:53:41+00:00,496
2020-01-08 03:47:22+00:00,491
2020-02-03 17:41:03+00:00,493
2020-03-01 07:34:44+00:00,464
2020-03-27 21:28:25+00:00,480
2020-04-23 11:22:06+00:00,489
2020-05-20 01:15:47+00:00,501
2020-06-15 15:09:28+00:00,526
2020-07-12 05:03:09+00:00,559
2020-08-07 18:56:50+00:00,581
2020-09-03 08:50:31+00:00,589
2020-09-29 22:44:12+00:00,558
2020-10-26 12:37:53+00:00,533
2020-11-22 02:31:34+00:00,556
2020-12-18 16:25:15+00:00,562
2021-01-14 06:18:56+00:00,563
2021-02-09 20:12:37+00:00,528
2021-03-08 10:06:18+00:00,535
2021-04-03 23:59:59+00:00,542
2021-04-30 13:53:40+00:00,581
2021-05-27 03:47:21+00:00,542
2021-06-22 17:41:02+00:00,565
2021-07-19 07:34:43+00:00,526
2021-08-14 21:28:24+00:00,569
2021-09-10 11:22:05+00:00,556
2021-10-07 01:15:46+00:00,536
2021-11-02 15:09:27+00:00,567
2021-11-29 05:03:08+00:00,533
2021-12-25 18:56:49+00:00,560
2022-01-21 08:50:30+00:00,502
2022-02-16 22:44:11+00:00,577
2022-03-15 12:37:52+00:00,525
2022-04-11 02:31:33+00:00,517
2022-05-07 16:25:14+00:00,506
2022-06-03 06:18:55+00:00,481
2022-06-29 20:12:36+00:00,508
2022-07-26 10:06:17+00:00,498
2022-08-21 23:59:58+00:00,485
2022-09-17 13:53:39+00:00,414
2022-10-14 03:47:20+00:00,433
2022-11-09 17:41:01+00:00,432
2022-12-06 07:34:42+00:00,496
2023-01-01 21:28:23+00:00,449
2023-01-28 11:22:04+00:00,474
2023-02-24 01:15:45+00:00,466
2023-03-22 15:09:26+00:00,452
2023-04-18 05:03:07+00:00,469
2023-05-14 18:56:48+00:00,551
2023-06-10 08:50:29+00:00,423
2023-07-06 22:44:10+00:00,407
2023-08-02 12:37:51+00:00,414
2023-08-29 02:31:32+00:00,477
2023-09-24 16:25:13+00:00,443
2023-10-21 06:18:54+00:00,421
2023-11-16 20:12:35+00:00,450
2023-12-13 10:06:16+00:00,340
