Date,Price
2019-11-16 00:00:00+00:00,624
2019-12-15 08:56:28+00:00,607
2020-01-13 17:52:56+00:00,586
2020-02-12 02:49:24+00:00,548
2020-03-12 11:45:52+00:00,496
2020-04-10 20:42:20+00:00,484
2020-05-10 05:38:48+00:00,497
2020-06-08 14:35:16+00:00,525
2020-07-07 23:31:44+00:00,514
2020-08-06 08:28:12+00:00,550
2020-09-04 17:24:40+00:00,543
2020-10-04 02:21:08+00:00,525
2020-11-02 11:17:36+00:00,545
2020-12-01 20:14:04+00:00,538
2020-12-31 05:10:32+00:00,544
2021-01-29 14:07:00+00:00,547
2021-02-27 23:03:28+00:00,545
2021-03-29 07:59:56+00:00,530
2021-04-27 16:56:24+00:00,532
2021-05-27 01:52:52+00:00,540
2021-06-25 10:49:20+00:00,523
2021-07-24 19:45:48+00:00,507
2021-08-23 04:42:16+00:00,538
2021-09-21 13:38:44+00:00,525
2021-10-20 22:35:12+00:00,502
2021-11-19 07:31:40+00:00,495
2021-12-18 16:28:08+00:00,510
2022-01-17 01:24:36+00:00,467
2022-02-15 10:21:04+00:00,506
2022-03-16 19:17:32+00:00,492
2022-04-15 04:14:00+00:00,493
2022-05-14 13:10:28+00:00,525
2022-06-12 22:06:56+00:00,484
2022-07-12 07:03:24+00:00,433
2022-08-10 15:59:52+00:00,419
2022-09-09 00:56:20+00:00,442
2022-10-08 09:52:48+00:00,412
2022-11-06 18:49:16+00:00,465
2022-12-06 03:45:44+00:00,427
2023-01-04 12:42:12+00:00,432
2023-02-02 21:38:40+00:00,434
2023-03-04 06:35:08+00:00,435
2023-04-02 15:31:36+00:00,468
2023-05-02 00:28:04+00:00,439
2023-05-31 09:24:32+00:00,428
2023-06-29 18:21:00+00:00,434
2023-07-29 03:17:28+00:00,443
2023-08-27 12:13:56+00:00,373
2023-09-25 21:10:24+00:00,389
2023-10-25 06:06:52+00:00,447
2023-11-23 15:03:20+00:00,411
