Date,Price
2020-12-09 00:00:00+00:00,92
2020-12-09 04:06:04+00:00,92
2020-12-09 08:12:08+00:00,92
2020-12-09 12:18:12+00:00,100
2020-12-09 16:24:16+00:00,96
2020-12-09 20:30:20+00:00,101
2020-12-10 00:36:24+00:00,96
2020-12-10 04:42:28+00:00,95
2020-12-10 08:48:32+00:00,104
2020-12-10 12:54:36+00:00,97
2020-12-10 17:00:40+00:00,98
2020-12-10 21:06:44+00:00,97
2020-12-11 01:12:48+00:00,97
2020-12-11 05:18:52+00:00,97
2020-12-11 09:24:56+00:00,96
2020-12-11 13:31:00+00:00,95
2020-12-11 17:37:04+00:00,97
2020-12-11 21:43:08+00:00,98
2020-12-12 01:49:12+00:00,101
2020-12-12 05:55:16+00:00,102
2020-12-12 10:01:20+00:00,102
2020-12-12 14:07:24+00:00,102
2020-12-12 18:13:28+00:00,100
2020-12-12 22:19:32+00:00,90
2020-12-13 02:25:36+00:00,85
2020-12-13 06:31:40+00:00,85
2020-12-13 10:37:44+00:00,85
2020-12-13 14:43:48+00:00,84
2020-12-13 18:49:52+00:00,95
2020-12-13 22:55:56+00:00,102
2020-12-14 03:02:00+00:00,102
2020-12-14 07:08:04+00:00,102
2020-12-14 11:14:08+00:00,96
2020-12-14 15:20:12+00:00,96
2020-12-14 19:26:16+00:00,105
2020-12-14 23:32:20+00:00,97
2020-12-15 03:38:24+00:00,95
2020-12-15 07:44:28+00:00,98
2020-12-15 11:50:32+00:00,100
2020-12-15 15:56:36+00:00,99
2020-12-15 20:02:40+00:00,95
2020-12-16 00:08:44+00:00,97
2020-12-16 04:14:48+00:00,96
2020-12-16 08:20:52+00:00,96
2020-12-16 12:26:56+00:00,95
2020-12-16 16:33:00+00:00,92
2020-12-16 20:39:04+00:00,92
2020-12-17 00:45:08+00:00,99
2020-12-17 04:51:12+00:00,99
2020-12-17 08:57:16+00:00,110
2020-12-17 13:03:20+00:00,116
2020-12-17 17:09:24+00:00,116
2020-12-17 21:15:28+00:00,100
2020-12-18 01:21:32+00:00,90
2020-12-18 05:27:36+00:00,90
2020-12-18 09:33:40+00:00,90
2020-12-18 13:39:44+00:00,99
2020-12-18 17:45:48+00:00,101
2020-12-18 21:51:52+00:00,94
2020-12-19 01:57:56+00:00,94
2020-12-19 06:04:00+00:00,113
2020-12-19 10:10:04+00:00,108
2020-12-19 14:16:08+00:00,94
2020-12-19 18:22:12+00:00,104
2020-12-19 22:28:16+00:00,90
2020-12-20 02:34:20+00:00,92
2020-12-20 06:40:24+00:00,114
2020-12-20 10:46:28+00:00,108
2020-12-20 14:52:32+00:00,108
2020-12-20 18:58:36+00:00,98
2020-12-20 23:04:40+00:00,88
2020-12-21 03:10:44+00:00,89
2020-12-21 07:16:48+00:00,89
2020-12-21 11:22:52+00:00,89
2020-12-21 15:28:56+00:00,87
2020-12-21 19:35:00+00:00,88
2020-12-21 23:41:04+00:00,88
2020-12-22 03:47:08+00:00,87
2020-12-22 07:53:12+00:00,87
2020-12-22 11:59:16+00:00,88
2020-12-22 16:05:20+00:00,85
2020-12-22 20:11:24+00:00,87
2020-12-23 00:17:28+00:00,89
2020-12-23 04:23:32+00:00,89
2020-12-23 08:29:36+00:00,89
2020-12-23 12:35:40+00:00,90
2020-12-23 16:41:44+00:00,97
2020-12-23 20:47:48+00:00,87
2020-12-24 00:53:52+00:00,89
2020-12-24 04:59:56+00:00,90
2020-12-24 09:06:00+00:00,90
2020-12-24 13:12:04+00:00,90
2020-12-24 17:18:08+00:00,105
2020-12-24 21:24:12+00:00,93
2020-12-25 01:30:16+00:00,95
2020-12-25 05:36:20+00:00,80
2020-12-25 09:42:24+00:00,95
2020-12-25 13:48:28+00:00,94
2020-12-25 17:54:32+00:00,92
2020-12-25 22:00:36+00:00,93
2020-12-26 02:06:40+00:00,93
2020-12-26 06:12:44+00:00,93
2020-12-26 10:18:48+00:00,93
2020-12-26 14:24:52+00:00,94
2020-12-26 18:30:56+00:00,94
2020-12-26 22:37:00+00:00,95
2020-12-27 02:43:04+00:00,95
2020-12-27 06:49:08+00:00,95
2020-12-27 10:55:12+00:00,96
2020-12-27 15:01:16+00:00,97
2020-12-27 19:07:20+00:00,138
2020-12-27 23:13:24+00:00,101
2020-12-28 03:19:28+00:00,101
2020-12-28 07:25:32+00:00,101
2020-12-28 11:31:36+00:00,123
2020-12-28 15:37:40+00:00,137
2020-12-28 19:43:44+00:00,101
2020-12-28 23:49:48+00:00,103
2020-12-29 03:55:52+00:00,100
2020-12-29 08:01:56+00:00,100
2020-12-29 12:08:00+00:00,87
2020-12-29 16:14:04+00:00,87
2020-12-29 20:20:08+00:00,107
2020-12-30 00:26:12+00:00,95
2020-12-30 04:32:16+00:00,95
2020-12-30 08:38:20+00:00,95
2020-12-30 12:44:24+00:00,95
2020-12-30 16:50:28+00:00,94
2020-12-30 20:56:32+00:00,97
2020-12-31 01:02:36+00:00,94
2020-12-31 05:08:40+00:00,90
2020-12-31 09:14:44+00:00,90
2020-12-31 13:20:48+00:00,103
2020-12-31 17:26:52+00:00,95
2020-12-31 21:32:56+00:00,95
2021-01-01 01:39:00+00:00,95
2021-01-01 05:45:04+00:00,95
2021-01-01 09:51:08+00:00,95
2021-01-01 13:57:12+00:00,95
2021-01-01 18:03:16+00:00,103
2021-01-01 22:09:20+00:00,90
2021-01-02 02:15:24+00:00,98
2021-01-02 06:21:28+00:00,97
2021-01-02 10:27:32+00:00,97
2021-01-02 14:33:36+00:00,97
2021-01-02 18:39:40+00:00,96
2021-01-02 22:45:44+00:00,100
2021-01-03 02:51:48+00:00,93
2021-01-03 06:57:52+00:00,93
2021-01-03 11:03:56+00:00,93
2021-01-03 15:10:00+00:00,100
2021-01-03 19:16:04+00:00,99
2021-01-03 23:22:08+00:00,97
2021-01-04 03:28:12+00:00,98
2021-01-04 07:34:16+00:00,98
2021-01-04 11:40:20+00:00,98
2021-01-04 15:46:24+00:00,98
2021-01-04 19:52:28+00:00,91
2021-01-04 23:58:32+00:00,85
2021-01-05 04:04:36+00:00,86
2021-01-05 08:10:40+00:00,87
2021-01-05 12:16:44+00:00,118
2021-01-05 16:22:48+00:00,95
2021-01-05 20:28:52+00:00,91
2021-01-06 00:34:56+00:00,90
2021-01-06 04:41:00+00:00,93
2021-01-06 08:47:04+00:00,96
2021-01-06 12:53:08+00:00,97
2021-01-06 16:59:12+00:00,98
2021-01-06 21:05:16+00:00,95
2021-01-07 01:11:20+00:00,87
2021-01-07 05:17:24+00:00,85
2021-01-07 09:23:28+00:00,94
2021-01-07 13:29:32+00:00,85
2021-01-07 17:35:36+00:00,91
2021-01-07 21:41:40+00:00,90
2021-01-08 01:47:44+00:00,94
2021-01-08 05:53:48+00:00,95
2021-01-08 09:59:52+00:00,95
2021-01-08 14:05:56+00:00,92
2021-01-08 18:12:00+00:00,96
2021-01-08 22:18:04+00:00,91
2021-01-09 02:24:08+00:00,92
2021-01-09 06:30:12+00:00,92
2021-01-09 10:36:16+00:00,92
2021-01-09 14:42:20+00:00,92
2021-01-09 18:48:24+00:00,91
2021-01-09 22:54:28+00:00,91
2021-01-10 03:00:32+00:00,91
2021-01-10 07:06:36+00:00,91
2021-01-10 11:12:40+00:00,124
2021-01-10 15:18:44+00:00,85
2021-01-10 19:24:48+00:00,87
2021-01-10 23:30:52+00:00,90
2021-01-11 03:36:56+00:00,89
2021-01-11 07:43:00+00:00,119
2021-01-11 11:49:04+00:00,120
2021-01-11 15:55:08+00:00,93
2021-01-11 20:01:12+00:00,88
2021-01-12 00:07:16+00:00,81
2021-01-12 04:13:20+00:00,85
2021-01-12 08:19:24+00:00,99
2021-01-12 12:25:28+00:00,88
2021-01-12 16:31:32+00:00,91
2021-01-12 20:37:36+00:00,91
2021-01-13 00:43:40+00:00,82
2021-01-13 04:49:44+00:00,95
2021-01-13 08:55:48+00:00,110
2021-01-13 13:01:52+00:00,89
2021-01-13 17:07:56+00:00,91
2021-01-13 21:14:00+00:00,89
2021-01-14 01:20:04+00:00,81
2021-01-14 05:26:08+00:00,82
2021-01-14 09:32:12+00:00,83
2021-01-14 13:38:16+00:00,86
2021-01-14 17:44:20+00:00,91
2021-01-14 21:50:24+00:00,86
2021-01-15 01:56:28+00:00,82
2021-01-15 06:02:32+00:00,90
2021-01-15 10:08:36+00:00,81
2021-01-15 14:14:40+00:00,83
2021-01-15 18:20:44+00:00,83
2021-01-15 22:26:48+00:00,82
2021-01-16 02:32:52+00:00,90
2021-01-16 06:38:56+00:00,90
2021-01-16 10:45:00+00:00,105
2021-01-16 14:51:04+00:00,113
2021-01-16 18:57:08+00:00,90
2021-01-16 23:03:12+00:00,88
2021-01-17 03:09:16+00:00,88
2021-01-17 07:15:20+00:00,88
2021-01-17 11:21:24+00:00,86
2021-01-17 15:27:28+00:00,94
2021-01-17 19:33:32+00:00,88
2021-01-17 23:39:36+00:00,87
2021-01-18 03:45:40+00:00,86
2021-01-18 07:51:44+00:00,106
2021-01-18 11:57:48+00:00,100
2021-01-18 16:03:52+00:00,94
2021-01-18 20:09:56+00:00,84
2021-01-19 00:16:00+00:00,84
2021-01-19 04:22:04+00:00,90
2021-01-19 08:28:08+00:00,90
2021-01-19 12:34:12+00:00,85
2021-01-19 16:40:16+00:00,82
2021-01-19 20:46:20+00:00,92
2021-01-20 00:52:24+00:00,79
2021-01-20 04:58:28+00:00,79
2021-01-20 09:04:32+00:00,90
2021-01-20 13:10:36+00:00,82
2021-01-20 17:16:40+00:00,93
2021-01-20 21:22:44+00:00,84
2021-01-21 01:28:48+00:00,85
2021-01-21 05:34:52+00:00,90
2021-01-21 09:40:56+00:00,102
2021-01-21 13:47:00+00:00,90
2021-01-21 17:53:04+00:00,81
2021-01-21 21:59:08+00:00,89
2021-01-22 02:05:12+00:00,79
2021-01-22 06:11:16+00:00,81
2021-01-22 10:17:20+00:00,81
2021-01-22 14:23:24+00:00,79
2021-01-22 18:29:28+00:00,86
2021-01-22 22:35:32+00:00,81
2021-01-23 02:41:36+00:00,81
2021-01-23 06:47:40+00:00,82
2021-01-23 10:53:44+00:00,95
2021-01-23 14:59:48+00:00,95
2021-01-23 19:05:52+00:00,91
2021-01-23 23:11:56+00:00,85
2021-01-24 03:18:00+00:00,81
2021-01-24 07:24:04+00:00,96
2021-01-24 11:30:08+00:00,81
2021-01-24 15:36:12+00:00,92
2021-01-24 19:42:16+00:00,88
2021-01-24 23:48:20+00:00,81
2021-01-25 03:54:24+00:00,92
2021-01-25 08:00:28+00:00,102
2021-01-25 12:06:32+00:00,80
2021-01-25 16:12:36+00:00,93
2021-01-25 20:18:40+00:00,88
2021-01-26 00:24:44+00:00,96
2021-01-26 04:30:48+00:00,96
2021-01-26 08:36:52+00:00,81
2021-01-26 12:42:56+00:00,93
2021-01-26 16:49:00+00:00,105
2021-01-26 20:55:04+00:00,99
2021-01-27 01:01:08+00:00,82
2021-01-27 05:07:12+00:00,82
