Date,Price,size
2018-08-10 00:00:00+00:00,287,10.5
2018-12-01 04:14:07+00:00,402,10.5
2019-03-24 08:28:14+00:00,532,10.5
2019-07-15 12:42:21+00:00,721,10.5
2019-11-05 16:56:28+00:00,830,10.5
2020-02-26 21:10:35+00:00,852,10.5
2020-06-19 01:24:42+00:00,1029,10.5
2020-10-10 05:38:49+00:00,1068,10.5
2021-01-31 09:52:56+00:00,1157,10.5
2021-05-24 14:07:03+00:00,1086,10.5
2021-09-14 18:21:10+00:00,1195,10.5
2022-01-05 22:35:17+00:00,1199,10.5
2022-04-29 02:49:24+00:00,982,10.5
2022-08-20 07:03:31+00:00,857,10.5
2022-12-11 11:17:38+00:00,1217,10.5
2023-04-03 15:31:45+00:00,768,10.5
2023-07-25 19:45:52+00:00,832,10.5
2018-08-10 00:00:00+00:00,300,10.0
2019-02-05 19:38:10+00:00,537,10.0
2019-08-04 15:16:20+00:00,825,10.0
2020-01-31 10:54:30+00:00,847,10.0
2020-07-29 06:32:40+00:00,1085,10.0
2021-01-25 02:10:50+00:00,1115,10.0
2021-07-23 21:49:00+00:00,1220,10.0
2022-01-19 17:27:10+00:00,1142,10.0
2022-07-18 13:05:20+00:00,1110,10.0
2023-01-14 08:43:30+00:00,1046,10.0
2023-07-13 04:21:40+00:00,1145,10.0
2018-08-10 00:00:00+00:00,286,11.0
2018-12-26 11:59:59+00:00,438,11.0
2019-05-13 23:59:58+00:00,609,11.0
2019-09-29 11:59:57+00:00,838,11.0
2020-02-14 23:59:56+00:00,884,11.0
2020-07-02 11:59:55+00:00,993,11.0
2020-11-17 23:59:54+00:00,1115,11.0
2021-04-05 11:59:53+00:00,1277,11.0
2021-08-21 23:59:52+00:00,1108,11.0
2022-01-07 11:59:51+00:00,1095,11.0
2022-05-25 23:59:50+00:00,968,11.0
2022-10-11 11:59:49+00:00,1245,11.0
2023-02-26 23:59:48+00:00,766,11.0
2023-07-15 11:59:47+00:00,942,11.0
2018-08-10 00:00:00+00:00,365,8.5
2019-09-07 04:47:59+00:00,941,8.5
2020-10-04 09:35:58+00:00,1355,8.5
2021-11-01 14:23:57+00:00,1272,8.5
2022-11-29 19:11:56+00:00,1328,8.5
2018-08-10 00:00:00+00:00,380,8.0
2020-02-27 23:59:59+00:00,1163,8.0
2021-09-16 23:59:58+00:00,1507,8.0
2018-08-10 00:00:00+00:00,320,9.5
2019-03-06 15:59:59+00:00,672,9.5
2019-10-01 07:59:58+00:00,928,9.5
2020-04-26 23:59:57+00:00,1082,9.5
2020-11-21 15:59:56+00:00,1293,9.5
2021-06-18 07:59:55+00:00,1216,9.5
2022-01-12 23:59:54+00:00,1256,9.5
2022-08-09 15:59:53+00:00,1092,9.5
2023-03-06 07:59:52+00:00,1053,9.5
2018-08-10 00:00:00+00:00,323,9.0
2019-01-08 18:27:41+00:00,527,9.0
2019-06-09 12:55:22+00:00,870,9.0
2019-11-08 07:23:03+00:00,927,9.0
2020-04-08 01:50:44+00:00,1113,9.0
2020-09-06 20:18:25+00:00,1196,9.0
2021-02-05 14:46:06+00:00,1095,9.0
2021-07-07 09:13:47+00:00,1305,9.0
2021-12-06 03:41:28+00:00,1328,9.0
2022-05-06 22:09:09+00:00,1149,9.0
2022-10-05 16:36:50+00:00,1017,9.0
2023-03-06 11:04:31+00:00,1153,9.0
2023-08-05 05:32:12+00:00,967,9.0
