Date,Price
2019-11-30 00:00:00+00:00,191
2020-02-03 03:07:49+00:00,277
2020-04-08 06:15:38+00:00,341
2020-06-12 09:23:27+00:00,399
2020-08-16 12:31:16+00:00,429
2020-10-20 15:39:05+00:00,477
2020-12-24 18:46:54+00:00,534
2021-02-27 21:54:43+00:00,572
2021-05-04 01:02:32+00:00,584
2021-07-08 04:10:21+00:00,511
2021-09-11 07:18:10+00:00,480
2021-11-15 10:25:59+00:00,542
2022-01-19 13:33:48+00:00,550
2022-03-25 16:41:37+00:00,540
2022-05-29 19:49:26+00:00,510
2022-08-02 22:57:15+00:00,457
2022-10-07 02:05:04+00:00,463
2022-12-11 05:12:53+00:00,425
2023-02-14 08:20:42+00:00,526
2023-04-20 11:28:31+00:00,441
2023-06-24 14:36:20+00:00,565
2023-08-28 17:44:09+00:00,507
2023-11-01 20:51:58+00:00,420
