Date,Price
2018-12-14 00:00:00+00:00,238
2019-01-07 07:15:47+00:00,276
2019-01-31 14:31:34+00:00,276
2019-02-24 21:47:21+00:00,293
2019-03-21 05:03:08+00:00,303
2019-04-14 12:18:55+00:00,318
2019-05-08 19:34:42+00:00,315
2019-06-02 02:50:29+00:00,316
2019-06-26 10:06:16+00:00,343
2019-07-20 17:22:03+00:00,335
2019-08-14 00:37:50+00:00,365
2019-09-07 07:53:37+00:00,361
2019-10-01 15:09:24+00:00,347
2019-10-25 22:25:11+00:00,353
2019-11-19 05:40:58+00:00,354
2019-12-13 12:56:45+00:00,365
2020-01-06 20:12:32+00:00,358
2020-01-31 03:28:19+00:00,358
2020-02-24 10:44:06+00:00,382
2020-03-19 17:59:53+00:00,389
2020-04-13 01:15:40+00:00,416
2020-05-07 08:31:27+00:00,480
2020-05-31 15:47:14+00:00,555
2020-06-24 23:03:01+00:00,569
2020-07-19 06:18:48+00:00,609
2020-08-12 13:34:35+00:00,615
2020-09-05 20:50:22+00:00,591
2020-09-30 04:06:09+00:00,592
2020-10-24 11:21:56+00:00,590
2020-11-17 18:37:43+00:00,635
2020-12-12 01:53:30+00:00,619
2021-01-05 09:09:17+00:00,635
2021-01-29 16:25:04+00:00,652
2021-02-22 23:40:51+00:00,670
2021-03-19 06:56:38+00:00,698
2021-04-12 14:12:25+00:00,689
2021-05-06 21:28:12+00:00,727
2021-05-31 04:43:59+00:00,753
2021-06-24 11:59:46+00:00,681
2021-07-18 19:15:33+00:00,709
2021-08-12 02:31:20+00:00,753
2021-09-05 09:47:07+00:00,691
2021-09-29 17:02:54+00:00,723
2021-10-24 00:18:41+00:00,714
2021-11-17 07:34:28+00:00,706
2021-12-11 14:50:15+00:00,789
2022-01-04 22:06:02+00:00,801
2022-01-29 05:21:49+00:00,796
2022-02-22 12:37:36+00:00,756
2022-03-18 19:53:23+00:00,783
2022-04-12 03:09:10+00:00,737
2022-05-06 10:24:57+00:00,743
2022-05-30 17:40:44+00:00,713
2022-06-24 00:56:31+00:00,640
2022-07-18 08:12:18+00:00,680
2022-08-11 15:28:05+00:00,656
2022-09-04 22:43:52+00:00,623
2022-09-29 05:59:39+00:00,647
2022-10-23 13:15:26+00:00,607
2022-11-16 20:31:13+00:00,663
2022-12-11 03:47:00+00:00,619
2023-01-04 11:02:47+00:00,618
2023-01-28 18:18:34+00:00,587
2023-02-22 01:34:21+00:00,609
2023-03-18 08:50:08+00:00,612
2023-04-11 16:05:55+00:00,668
2023-05-05 23:21:42+00:00,664
2023-05-30 06:37:29+00:00,640
2023-06-23 13:53:16+00:00,682
2023-07-17 21:09:03+00:00,689
2023-08-11 04:24:50+00:00,639
2023-09-04 11:40:37+00:00,561
2023-09-28 18:56:24+00:00,562
2023-10-23 02:12:11+00:00,581
2023-11-16 09:27:58+00:00,529
2023-12-10 16:43:45+00:00,682
