Date,Price
2018-12-14 00:00:00+00:00,322
2019-02-18 00:51:25+00:00,410
2019-04-25 01:42:50+00:00,430
2019-06-30 02:34:15+00:00,528
2019-09-04 03:25:40+00:00,573
2019-11-09 04:17:05+00:00,514
2020-01-14 05:08:30+00:00,493
2020-03-20 05:59:55+00:00,520
2020-05-25 06:51:20+00:00,597
2020-07-30 07:42:45+00:00,640
2020-10-04 08:34:10+00:00,637
2020-12-09 09:25:35+00:00,676
2021-02-13 10:17:00+00:00,737
2021-04-20 11:08:25+00:00,719
2021-06-25 11:59:50+00:00,705
2021-08-30 12:51:15+00:00,734
2021-11-04 13:42:40+00:00,738
2022-01-09 14:34:05+00:00,795
2022-03-16 15:25:30+00:00,731
2022-05-21 16:16:55+00:00,687
2022-07-26 17:08:20+00:00,677
2022-09-30 17:59:45+00:00,662
2022-12-05 18:51:10+00:00,632
2023-02-09 19:42:35+00:00,706
2023-04-16 20:34:00+00:00,727
2023-06-21 21:25:25+00:00,798
2023-08-26 22:16:50+00:00,764
2023-10-31 23:08:15+00:00,778
