Date,Price,size
2017-11-09 00:00:00+00:00,1293,10.5
2018-05-12 17:59:59+00:00,1983,10.5
2018-11-13 11:59:58+00:00,2469,10.5
2019-05-17 05:59:57+00:00,3253,10.5
2019-11-17 23:59:56+00:00,3596,10.5
2020-05-20 17:59:55+00:00,3916,10.5
2020-11-21 11:59:54+00:00,4649,10.5
2021-05-25 05:59:53+00:00,4925,10.5
2021-11-25 23:59:52+00:00,6609,10.5
2022-05-29 17:59:51+00:00,4990,10.5
2022-11-30 11:59:50+00:00,5038,10.5
2023-06-03 05:59:49+00:00,4287,10.5
2017-11-09 00:00:00+00:00,1330,10.0
2018-04-18 03:25:42+00:00,2095,10.0
2018-09-25 06:51:24+00:00,2268,10.0
2019-03-04 10:17:06+00:00,3056,10.0
2019-08-11 13:42:48+00:00,3694,10.0
2020-01-18 17:08:30+00:00,3796,10.0
2020-06-26 20:34:12+00:00,3958,10.0
2020-12-03 23:59:54+00:00,4899,10.0
2021-05-13 03:25:36+00:00,4637,10.0
2021-10-20 06:51:18+00:00,6860,10.0
2022-03-29 10:17:00+00:00,6222,10.0
2022-09-05 13:42:42+00:00,5091,10.0
2023-02-12 17:08:24+00:00,4677,10.0
2023-07-22 20:34:06+00:00,4959,10.0
2017-11-09 00:00:00+00:00,1328,11.0
2018-06-20 09:35:59+00:00,2015,11.0
2019-01-29 19:11:58+00:00,2696,11.0
2019-09-10 04:47:57+00:00,3358,11.0
2020-04-20 14:23:56+00:00,3769,11.0
2020-11-29 23:59:55+00:00,4365,11.0
2021-07-11 09:35:54+00:00,5746,11.0
2022-02-19 19:11:53+00:00,5855,11.0
2022-10-01 04:47:52+00:00,5323,11.0
2023-05-12 14:23:51+00:00,4813,11.0
2017-11-09 00:00:00+00:00,2435,8.5
2020-11-03 23:59:59+00:00,5518,8.5
2017-11-09 00:00:00+00:00,1582,8.0
2018-09-09 20:34:17+00:00,2913,8.0
2019-07-11 17:08:34+00:00,4230,8.0
2020-05-11 13:42:51+00:00,4781,8.0
2021-03-12 10:17:08+00:00,6032,8.0
2022-01-11 06:51:25+00:00,5549,8.0
2022-11-12 03:25:42+00:00,4053,8.0
2017-11-09 00:00:00+00:00,1367,9.5
2018-04-29 14:46:09+00:00,2286,9.5
2018-10-18 05:32:18+00:00,2602,9.5
2019-04-07 20:18:27+00:00,3562,9.5
2019-09-26 11:04:36+00:00,4192,9.5
2020-03-16 01:50:45+00:00,4157,9.5
2020-09-03 16:36:54+00:00,4483,9.5
2021-02-22 07:23:03+00:00,5052,9.5
2021-08-12 22:09:12+00:00,6121,9.5
2022-01-31 12:55:21+00:00,6189,9.5
2022-07-22 03:41:30+00:00,4694,9.5
2023-01-09 18:27:39+00:00,5141,9.5
2023-06-30 09:13:48+00:00,5036,9.5
2017-11-09 00:00:00+00:00,1436,9.0
2018-05-30 04:21:49+00:00,2403,9.0
2018-12-18 08:43:38+00:00,3029,9.0
2019-07-08 13:05:27+00:00,3810,9.0
2020-01-26 17:27:16+00:00,4067,9.0
2020-08-15 21:49:05+00:00,4223,9.0
2021-03-06 02:10:54+00:00,5687,9.0
2021-09-24 06:32:43+00:00,6499,9.0
2022-04-14 10:54:32+00:00,5139,9.0
2022-11-02 15:16:21+00:00,4768,9.0
2023-05-23 19:38:10+00:00,4079,9.0
