Date,Price
2019-05-11 00:00:00+00:00,928
2019-05-22 13:42:51+00:00,988
2019-06-03 03:25:42+00:00,1006
2019-06-14 17:08:33+00:00,1319
2019-06-26 06:51:24+00:00,1341
2019-07-07 20:34:15+00:00,1294
2019-07-19 10:17:06+00:00,1368
2019-07-30 23:59:57+00:00,1543
2019-08-11 13:42:48+00:00,1771
2019-08-23 03:25:39+00:00,1808
2019-09-03 17:08:30+00:00,1720
2019-09-15 06:51:21+00:00,1667
2019-09-26 20:34:12+00:00,1649
2019-10-08 10:17:03+00:00,1580
2019-10-19 23:59:54+00:00,1568
2019-10-31 13:42:45+00:00,1490
2019-11-12 03:25:36+00:00,1372
2019-11-23 17:08:27+00:00,1372
2019-12-05 06:51:18+00:00,1394
2019-12-16 20:34:09+00:00,1367
2019-12-28 10:17:00+00:00,1421
2020-01-08 23:59:51+00:00,1360
2020-01-20 13:42:42+00:00,1387
2020-02-01 03:25:33+00:00,1370
2020-02-12 17:08:24+00:00,1319
2020-02-24 06:51:15+00:00,1320
2020-03-06 20:34:06+00:00,1271
2020-03-18 10:16:57+00:00,1190
2020-03-29 23:59:48+00:00,1232
2020-04-10 13:42:39+00:00,1256
2020-04-22 03:25:30+00:00,1400
2020-05-03 17:08:21+00:00,1454
2020-05-15 06:51:12+00:00,1508
2020-05-26 20:34:03+00:00,1546
2020-06-07 10:16:54+00:00,1502
2020-06-18 23:59:45+00:00,1498
2020-06-30 13:42:36+00:00,1424
2020-07-12 03:25:27+00:00,1490
2020-07-23 17:08:18+00:00,1491
2020-08-04 06:51:09+00:00,1489
2020-08-15 20:34:00+00:00,1527
2020-08-27 10:16:51+00:00,1530
2020-09-07 23:59:42+00:00,1517
2020-09-19 13:42:33+00:00,1525
2020-10-01 03:25:24+00:00,1547
2020-10-12 17:08:15+00:00,1543
2020-10-24 06:51:06+00:00,1544
2020-11-04 20:33:57+00:00,1590
2020-11-16 10:16:48+00:00,1526
2020-11-27 23:59:39+00:00,1552
2020-12-09 13:42:30+00:00,1571
2020-12-21 03:25:21+00:00,1629
2021-01-01 17:08:12+00:00,1644
2021-01-13 06:51:03+00:00,1647
2021-01-24 20:33:54+00:00,1622
2021-02-05 10:16:45+00:00,1597
2021-02-16 23:59:36+00:00,1610
2021-02-28 13:42:27+00:00,1575
2021-03-12 03:25:18+00:00,1628
2021-03-23 17:08:09+00:00,1632
2021-04-04 06:51:00+00:00,1674
2021-04-15 20:33:51+00:00,1667
2021-04-27 10:16:42+00:00,1691
2021-05-08 23:59:33+00:00,1693
2021-05-20 13:42:24+00:00,1661
2021-06-01 03:25:15+00:00,1627
2021-06-12 17:08:06+00:00,1721
2021-06-24 06:50:57+00:00,1781
2021-07-05 20:33:48+00:00,1703
2021-07-17 10:16:39+00:00,1757
2021-07-28 23:59:30+00:00,1713
2021-08-09 13:42:21+00:00,1819
2021-08-21 03:25:12+00:00,1712
2021-09-01 17:08:03+00:00,1643
2021-09-13 06:50:54+00:00,1710
2021-09-24 20:33:45+00:00,1671
2021-10-06 10:16:36+00:00,1746
2021-10-17 23:59:27+00:00,1719
2021-10-29 13:42:18+00:00,1603
2021-11-10 03:25:09+00:00,1677
2021-11-21 17:08:00+00:00,1717
2021-12-03 06:50:51+00:00,1700
2021-12-14 20:33:42+00:00,1653
2021-12-26 10:16:33+00:00,1630
2022-01-06 23:59:24+00:00,1769
2022-01-18 13:42:15+00:00,1708
2022-01-30 03:25:06+00:00,1773
2022-02-10 17:07:57+00:00,1864
2022-02-22 06:50:48+00:00,1813
2022-03-05 20:33:39+00:00,1812
2022-03-17 10:16:30+00:00,1850
2022-03-28 23:59:21+00:00,1800
2022-04-09 13:42:12+00:00,1864
2022-04-21 03:25:03+00:00,1660
2022-05-02 17:07:54+00:00,1838
2022-05-14 06:50:45+00:00,1768
2022-05-25 20:33:36+00:00,1931
2022-06-06 10:16:27+00:00,1736
2022-06-17 23:59:18+00:00,1573
2022-06-29 13:42:09+00:00,1513
2022-07-11 03:25:00+00:00,1553
2022-07-22 17:07:51+00:00,1562
2022-08-03 06:50:42+00:00,1551
2022-08-14 20:33:33+00:00,1595
2022-08-26 10:16:24+00:00,1772
2022-09-06 23:59:15+00:00,1614
2022-09-18 13:42:06+00:00,1466
2022-09-30 03:24:57+00:00,1586
2022-10-11 17:07:48+00:00,1410
2022-10-23 06:50:39+00:00,1547
2022-11-03 20:33:30+00:00,1547
2022-11-15 10:16:21+00:00,1542
2022-11-26 23:59:12+00:00,1534
2022-12-08 13:42:03+00:00,1646
2022-12-20 03:24:54+00:00,1597
2022-12-31 17:07:45+00:00,1504
2023-01-12 06:50:36+00:00,1652
2023-01-23 20:33:27+00:00,1595
2023-02-04 10:16:18+00:00,1569
2023-02-15 23:59:09+00:00,1410
2023-02-27 13:42:00+00:00,1532
2023-03-11 03:24:51+00:00,1497
2023-03-22 17:07:42+00:00,1349
2023-04-03 06:50:33+00:00,1626
2023-04-14 20:33:24+00:00,1463
2023-04-26 10:16:15+00:00,1647
2023-05-07 23:59:06+00:00,1465
2023-05-19 13:41:57+00:00,1397
2023-05-31 03:24:48+00:00,1412
2023-06-11 17:07:39+00:00,1555
2023-06-23 06:50:30+00:00,1453
2023-07-04 20:33:21+00:00,1489
2023-07-16 10:16:12+00:00,1439
2023-07-27 23:59:03+00:00,1391
2023-08-08 13:41:54+00:00,1373
2023-08-20 03:24:45+00:00,1470
2023-08-31 17:07:36+00:00,1402
2023-09-12 06:50:27+00:00,1359
2023-09-23 20:33:18+00:00,1371
2023-10-05 10:16:09+00:00,1396
2023-10-16 23:59:00+00:00,1377
2023-10-28 13:41:51+00:00,1297
2023-11-09 03:24:42+00:00,1361
2023-11-20 17:07:33+00:00,1331
2023-12-02 06:50:24+00:00,1556
2023-12-13 20:33:15+00:00,1278
2023-12-25 10:16:06+00:00,1372
