Date,Price,size
2023-03-07 00:00:00+00:00,1291,10.5
2023-03-07 12:09:24+00:00,1148,10.5
2023-03-08 00:18:48+00:00,1212,10.5
2023-03-08 12:28:12+00:00,1059,10.5
2023-03-09 00:37:36+00:00,1036,10.5
2023-03-09 12:47:00+00:00,949,10.5
2023-03-10 00:56:24+00:00,960,10.5
2023-03-10 13:05:48+00:00,983,10.5
2023-03-11 01:15:12+00:00,974,10.5
2023-03-11 13:24:36+00:00,927,10.5
2023-03-12 01:34:00+00:00,944,10.5
2023-03-12 13:43:24+00:00,915,10.5
2023-03-13 01:52:48+00:00,967,10.5
2023-03-13 14:02:12+00:00,930,10.5
2023-03-14 02:11:36+00:00,926,10.5
2023-03-14 14:21:00+00:00,946,10.5
2023-03-15 02:30:24+00:00,949,10.5
2023-03-15 14:39:48+00:00,992,10.5
2023-03-16 02:49:12+00:00,1014,10.5
2023-03-16 14:58:36+00:00,991,10.5
2023-03-17 03:08:00+00:00,980,10.5
2023-03-17 15:17:24+00:00,979,10.5
2023-03-18 03:26:48+00:00,953,10.5
2023-03-18 15:36:12+00:00,974,10.5
2023-03-19 03:45:36+00:00,1001,10.5
2023-03-19 15:55:00+00:00,957,10.5
2023-03-20 04:04:24+00:00,1034,10.5
2023-03-20 16:13:48+00:00,930,10.5
2023-03-21 04:23:12+00:00,975,10.5
2023-03-21 16:32:36+00:00,957,10.5
2023-03-22 04:42:00+00:00,959,10.5
2023-03-22 16:51:24+00:00,959,10.5
2023-03-23 05:00:48+00:00,1152,10.5
2023-03-23 17:10:12+00:00,1041,10.5
2023-03-24 05:19:36+00:00,1074,10.5
2023-03-24 17:29:00+00:00,1004,10.5
2023-03-25 05:38:24+00:00,1105,10.5
2023-03-25 17:47:48+00:00,962,10.5
2023-03-26 05:57:12+00:00,1030,10.5
2023-03-26 18:06:36+00:00,1070,10.5
2023-03-27 06:16:00+00:00,985,10.5
2023-03-27 18:25:24+00:00,1031,10.5
2023-03-28 06:34:48+00:00,1001,10.5
2023-03-28 18:44:12+00:00,1001,10.5
2023-03-29 06:53:36+00:00,1114,10.5
2023-03-29 19:03:00+00:00,1024,10.5
2023-03-30 07:12:24+00:00,1071,10.5
2023-03-30 19:21:48+00:00,1217,10.5
2023-03-31 07:31:12+00:00,1217,10.5
2023-03-31 19:40:36+00:00,998,10.5
2023-04-01 07:50:00+00:00,998,10.5
2023-04-01 19:59:24+00:00,998,10.5
2023-04-02 08:08:48+00:00,998,10.5
2023-04-02 20:18:12+00:00,916,10.5
2023-04-03 08:27:36+00:00,918,10.5
2023-04-03 20:37:00+00:00,918,10.5
2023-04-04 08:46:24+00:00,1072,10.5
2023-04-04 20:55:48+00:00,986,10.5
2023-04-05 09:05:12+00:00,986,10.5
2023-04-05 21:14:36+00:00,986,10.5
2023-04-06 09:24:00+00:00,955,10.5
2023-04-06 21:33:24+00:00,955,10.5
2023-04-07 09:42:48+00:00,1111,10.5
2023-04-07 21:52:12+00:00,1111,10.5
2023-04-08 10:01:36+00:00,1029,10.5
2023-04-08 22:11:00+00:00,1005,10.5
2023-04-09 10:20:24+00:00,950,10.5
2023-04-09 22:29:48+00:00,1020,10.5
2023-04-10 10:39:12+00:00,1154,10.5
2023-04-10 22:48:36+00:00,1154,10.5
2023-04-11 10:58:00+00:00,1154,10.5
2023-04-11 23:07:24+00:00,1210,10.5
2023-04-12 11:16:48+00:00,1210,10.5
2023-04-12 23:26:12+00:00,1210,10.5
2023-04-13 11:35:36+00:00,1207,10.5
2023-04-13 23:45:00+00:00,931,10.5
2023-04-14 11:54:24+00:00,974,10.5
2023-04-15 00:03:48+00:00,931,10.5
2023-04-15 12:13:12+00:00,955,10.5
2023-04-16 00:22:36+00:00,978,10.5
2023-04-16 12:32:00+00:00,1126,10.5
2023-04-17 00:41:24+00:00,1026,10.5
2023-04-17 12:50:48+00:00,996,10.5
2023-04-18 01:00:12+00:00,996,10.5
2023-04-18 13:09:36+00:00,1070,10.5
2023-04-19 01:19:00+00:00,948,10.5
2023-04-19 13:28:24+00:00,1061,10.5
2023-04-20 01:37:48+00:00,1061,10.5
2023-04-20 13:47:12+00:00,1004,10.5
2023-04-21 01:56:36+00:00,1210,10.5
2023-04-21 14:06:00+00:00,1210,10.5
2023-04-22 02:15:24+00:00,1210,10.5
2023-04-22 14:24:48+00:00,1135,10.5
