Date,Price
2019-11-16 00:00:00+00:00,508
2019-12-06 10:42:09+00:00,508
2019-12-26 21:24:18+00:00,509
2020-01-16 08:06:27+00:00,492
2020-02-05 18:48:36+00:00,500
2020-02-26 05:30:45+00:00,479
2020-03-17 16:12:54+00:00,459
2020-04-07 02:55:03+00:00,465
2020-04-27 13:37:12+00:00,471
2020-05-18 00:19:21+00:00,488
2020-06-07 11:01:30+00:00,504
2020-06-27 21:43:39+00:00,506
2020-07-18 08:25:48+00:00,545
2020-08-07 19:07:57+00:00,571
2020-08-28 05:50:06+00:00,565
2020-09-17 16:32:15+00:00,562
2020-10-08 03:14:24+00:00,542
2020-10-28 13:56:33+00:00,568
2020-11-18 00:38:42+00:00,559
2020-12-08 11:20:51+00:00,565
2020-12-28 22:03:00+00:00,542
2021-01-18 08:45:09+00:00,520
2021-02-07 19:27:18+00:00,502
2021-02-28 06:09:27+00:00,505
2021-03-20 16:51:36+00:00,522
2021-04-10 03:33:45+00:00,570
2021-04-30 14:15:54+00:00,586
2021-05-21 00:58:03+00:00,548
2021-06-10 11:40:12+00:00,545
2021-06-30 22:22:21+00:00,566
2021-07-21 09:04:30+00:00,543
2021-08-10 19:46:39+00:00,533
2021-08-31 06:28:48+00:00,543
2021-09-20 17:10:57+00:00,536
2021-10-11 03:53:06+00:00,537
2021-10-31 14:35:15+00:00,557
2021-11-21 01:17:24+00:00,538
2021-12-11 11:59:33+00:00,540
2021-12-31 22:41:42+00:00,534
2022-01-21 09:23:51+00:00,552
2022-02-10 20:06:00+00:00,538
2022-03-03 06:48:09+00:00,506
2022-03-23 17:30:18+00:00,508
2022-04-13 04:12:27+00:00,522
2022-05-03 14:54:36+00:00,501
2022-05-24 01:36:45+00:00,431
2022-06-13 12:18:54+00:00,468
2022-07-03 23:01:03+00:00,418
2022-07-24 09:43:12+00:00,443
2022-08-13 20:25:21+00:00,389
2022-09-03 07:07:30+00:00,403
2022-09-23 17:49:39+00:00,471
2022-10-14 04:31:48+00:00,431
2022-11-03 15:13:57+00:00,423
2022-11-24 01:56:06+00:00,438
2022-12-14 12:38:15+00:00,401
2023-01-03 23:20:24+00:00,470
2023-01-24 10:02:33+00:00,465
2023-02-13 20:44:42+00:00,421
2023-03-06 07:26:51+00:00,430
2023-03-26 18:09:00+00:00,404
2023-04-16 04:51:09+00:00,405
2023-05-06 15:33:18+00:00,427
2023-05-27 02:15:27+00:00,402
2023-06-16 12:57:36+00:00,382
2023-07-06 23:39:45+00:00,387
2023-07-27 10:21:54+00:00,401
2023-08-16 21:04:03+00:00,501
2023-09-06 07:46:12+00:00,412
2023-09-26 18:28:21+00:00,436
2023-10-17 05:10:30+00:00,487
2023-11-06 15:52:39+00:00,377
2023-11-27 02:34:48+00:00,398
2023-12-17 13:16:57+00:00,425
