Date,Price
2018-08-10 00:00:00+00:00,287
2018-12-01 04:14:07+00:00,402
2019-03-24 08:28:14+00:00,532
2019-07-15 12:42:21+00:00,721
2019-11-05 16:56:28+00:00,830
2020-02-26 21:10:35+00:00,852
2020-06-19 01:24:42+00:00,1029
2020-10-10 05:38:49+00:00,1068
2021-01-31 09:52:56+00:00,1157
2021-05-24 14:07:03+00:00,1086
2021-09-14 18:21:10+00:00,1195
2022-01-05 22:35:17+00:00,1199
2022-04-29 02:49:24+00:00,982
2022-08-20 07:03:31+00:00,857
2022-12-11 11:17:38+00:00,1217
2023-04-03 15:31:45+00:00,768
2023-07-25 19:45:52+00:00,832
