Date,Price,size,collab,retail price
2019-11-30 00:00:00+00:00,191,10.5,1,130
2019-11-30 00:00:00+00:00,201,9.0,1,130
2019-11-30 00:00:00+00:00,195,9.5,1,130
2019-11-30 00:00:00+00:00,213,8.0,1,130
2019-11-30 00:00:00+00:00,186,11.0,1,130
2019-11-30 00:00:00+00:00,182,10.0,1,130
2019-11-30 00:00:00+00:00,208,8.5,1,130
2019-12-31 01:59:59+00:00,225,10.0,1,130
2020-01-17 03:05:48+00:00,276,9.5,1,130
2020-01-23 15:59:59+00:00,261,11.0,1,130
2020-01-24 12:26:39+00:00,298,9.0,1,130
2020-01-25 20:18:27+00:00,294,8.5,1,130
2020-01-31 03:59:58+00:00,276,10.0,1,130
2020-02-03 03:07:49+00:00,277,10.5,1,130
2020-03-01 04:29:59+00:00,319,8.0,1,130
2020-03-02 05:59:57+00:00,279,10.0,1,130
2020-03-05 06:11:36+00:00,312,9.5,1,130
2020-03-18 07:59:58+00:00,302,11.0,1,130
2020-03-20 00:53:18+00:00,320,9.0,1,130
2020-03-22 16:36:54+00:00,324,8.5,1,130
2020-04-02 07:59:56+00:00,312,10.0,1,130
2020-04-08 06:15:38+00:00,341,10.5,1,130
2020-04-22 09:17:24+00:00,370,9.5,1,130
2020-05-03 09:59:55+00:00,359,10.0,1,130
2020-05-11 23:59:57+00:00,372,11.0,1,130
2020-05-14 13:19:57+00:00,405,9.0,1,130
2020-05-18 12:55:21+00:00,417,8.5,1,130
2020-06-01 08:59:58+00:00,450,8.0,1,130
2020-06-03 11:59:54+00:00,385,10.0,1,130
2020-06-09 12:23:12+00:00,438,9.5,1,130
2020-06-12 09:23:27+00:00,399,10.5,1,130
2020-07-04 13:59:53+00:00,435,10.0,1,130
2020-07-05 15:59:56+00:00,399,11.0,1,130
2020-07-09 01:46:36+00:00,449,9.0,1,130
2020-07-14 09:13:48+00:00,449,8.5,1,130
2020-07-27 15:29:00+00:00,463,9.5,1,130
2020-08-04 15:59:52+00:00,455,10.0,1,130
2020-08-16 12:31:16+00:00,429,10.5,1,130
2020-08-29 07:59:55+00:00,412,11.0,1,130
2020-09-01 13:29:57+00:00,507,8.0,1,130
2020-09-02 14:13:15+00:00,483,9.0,1,130
2020-09-04 17:59:51+00:00,452,10.0,1,130
2020-09-09 05:32:15+00:00,486,8.5,1,130
2020-09-13 18:34:48+00:00,492,9.5,1,130
2020-10-05 19:59:50+00:00,476,10.0,1,130
2020-10-20 15:39:05+00:00,477,10.5,1,130
2020-10-22 23:59:54+00:00,488,11.0,1,130
2020-10-28 02:39:54+00:00,540,9.0,1,130
2020-10-31 21:40:36+00:00,564,9.5,1,130
2020-11-05 01:50:42+00:00,564,8.5,1,130
2020-11-05 21:59:49+00:00,516,10.0,1,130
2020-12-02 17:59:56+00:00,623,8.0,1,130
2020-12-06 23:59:48+00:00,520,10.0,1,130
2020-12-16 15:59:53+00:00,490,11.0,1,130
2020-12-19 00:46:24+00:00,601,9.5,1,130
2020-12-22 15:06:33+00:00,600,9.0,1,130
2020-12-24 18:46:54+00:00,534,10.5,1,130
2020-12-31 22:09:09+00:00,644,8.5,1,130
2021-01-07 01:59:47+00:00,562,10.0,1,130
2021-02-05 03:52:12+00:00,610,9.5,1,130
2021-02-07 03:59:46+00:00,573,10.0,1,130
2021-02-09 07:59:52+00:00,523,11.0,1,130
2021-02-16 03:33:12+00:00,585,9.0,1,130
2021-02-26 18:27:36+00:00,654,8.5,1,130
2021-02-27 21:54:43+00:00,572,10.5,1,130
2021-03-04 22:29:55+00:00,640,8.0,1,130
2021-03-10 05:59:45+00:00,567,10.0,1,130
2021-03-25 06:58:00+00:00,633,9.5,1,130
2021-04-04 23:59:51+00:00,532,11.0,1,130
2021-04-10 07:59:44+00:00,591,10.0,1,130
2021-04-12 15:59:51+00:00,618,9.0,1,130
2021-04-24 14:46:03+00:00,656,8.5,1,130
2021-05-04 01:02:32+00:00,584,10.5,1,130
2021-05-11 09:59:43+00:00,591,10.0,1,130
2021-05-12 10:03:48+00:00,696,9.5,1,130
2021-05-29 15:59:50+00:00,568,11.0,1,130
2021-06-05 02:59:54+00:00,580,8.0,1,130
2021-06-07 04:26:30+00:00,620,9.0,1,130
2021-06-11 11:59:42+00:00,640,10.0,1,130
2021-06-20 11:04:30+00:00,599,8.5,1,130
2021-06-29 13:09:36+00:00,620,9.5,1,130
2021-07-08 04:10:21+00:00,511,10.5,1,130
2021-07-12 13:59:41+00:00,550,10.0,1,130
2021-07-23 07:59:49+00:00,482,11.0,1,130
2021-08-01 16:53:09+00:00,543,9.0,1,130
2021-08-12 15:59:40+00:00,597,10.0,1,130
2021-08-16 07:22:57+00:00,561,8.5,1,130
2021-08-16 16:15:24+00:00,674,9.5,1,130
2021-09-05 07:29:53+00:00,627,8.0,1,130
2021-09-11 07:18:10+00:00,480,10.5,1,130
2021-09-12 17:59:39+00:00,523,10.0,1,130
2021-09-15 23:59:48+00:00,523,11.0,1,130
2021-09-26 05:19:48+00:00,561,9.0,1,130
2021-10-03 19:21:12+00:00,617,9.5,1,130
2021-10-12 03:41:24+00:00,566,8.5,1,130
2021-10-13 19:59:38+00:00,510,10.0,1,130
2021-11-09 15:59:47+00:00,512,11.0,1,130
2021-11-13 21:59:37+00:00,566,10.0,1,130
2021-11-15 10:25:59+00:00,542,10.5,1,130
2021-11-20 17:46:27+00:00,557,9.0,1,130
2021-11-20 22:27:00+00:00,548,9.5,1,130
2021-12-06 11:59:52+00:00,592,8.0,1,130
2021-12-07 23:59:51+00:00,649,8.5,1,130
2021-12-14 23:59:36+00:00,440,10.0,1,130
2022-01-03 07:59:46+00:00,568,11.0,1,130
2022-01-08 01:32:48+00:00,575,9.5,1,130
2022-01-15 01:59:35+00:00,531,10.0,1,130
2022-01-15 06:13:06+00:00,683,9.0,1,130
2022-01-19 13:33:48+00:00,550,10.5,1,130
2022-02-02 20:18:18+00:00,636,8.5,1,130
2022-02-15 03:59:34+00:00,524,10.0,1,130
2022-02-25 04:38:36+00:00,572,9.5,1,130
2022-02-26 23:59:45+00:00,549,11.0,1,130
2022-03-08 16:29:51+00:00,606,8.0,1,130
2022-03-11 18:39:45+00:00,581,9.0,1,130
2022-03-18 05:59:33+00:00,582,10.0,1,130
2022-03-25 16:41:37+00:00,540,10.5,1,130
2022-03-31 16:36:45+00:00,652,8.5,1,130
2022-04-14 07:44:24+00:00,603,9.5,1,130
2022-04-18 07:59:32+00:00,572,10.0,1,130
2022-04-22 15:59:44+00:00,580,11.0,1,130
2022-05-06 07:06:24+00:00,553,9.0,1,130
2022-05-19 09:59:31+00:00,537,10.0,1,130
2022-05-27 12:55:12+00:00,588,8.5,1,130
2022-05-29 19:49:26+00:00,510,10.5,1,130
2022-06-01 10:50:12+00:00,538,9.5,1,130
2022-06-08 20:59:50+00:00,532,8.0,1,130
2022-06-16 07:59:43+00:00,555,11.0,1,130
2022-06-19 11:59:30+00:00,523,10.0,1,130
2022-06-30 19:33:03+00:00,629,9.0,1,130
2022-07-19 13:56:00+00:00,564,9.5,1,130
2022-07-20 13:59:29+00:00,492,10.0,1,130
2022-07-23 09:13:39+00:00,544,8.5,1,130
2022-08-02 22:57:15+00:00,457,10.5,1,130
2022-08-09 23:59:42+00:00,550,11.0,1,130
2022-08-20 15:59:28+00:00,440,10.0,1,130
2022-08-25 07:59:42+00:00,562,9.0,1,130
2022-09-05 17:01:48+00:00,587,9.5,1,130
2022-09-09 01:29:49+00:00,576,8.0,1,130
2022-09-18 05:32:06+00:00,554,8.5,1,130
2022-09-20 17:59:27+00:00,526,10.0,1,130
2022-10-03 15:59:41+00:00,512,11.0,1,130
2022-10-07 02:05:04+00:00,463,10.5,1,130
2022-10-19 20:26:21+00:00,501,9.0,1,130
2022-10-21 19:59:26+00:00,431,10.0,1,130
2022-10-23 20:07:36+00:00,544,9.5,1,130
2022-11-14 01:50:33+00:00,551,8.5,1,130
2022-11-21 21:59:25+00:00,480,10.0,1,130
2022-11-27 07:59:40+00:00,523,11.0,1,130
2022-12-10 05:59:48+00:00,531,8.0,1,130
2022-12-10 23:13:24+00:00,536,9.5,1,130
2022-12-11 05:12:53+00:00,425,10.5,1,130
2022-12-14 08:53:00+00:00,532,9.0,1,130
2022-12-22 23:59:24+00:00,509,10.0,1,130
2023-01-09 22:09:00+00:00,510,8.5,1,130
2023-01-20 23:59:39+00:00,470,11.0,1,130
2023-01-23 01:59:23+00:00,452,10.0,1,130
2023-01-28 02:19:12+00:00,495,9.5,1,130
2023-02-07 21:19:39+00:00,457,9.0,1,130
2023-02-14 08:20:42+00:00,526,10.5,1,130
2023-02-23 03:59:22+00:00,457,10.0,1,130
2023-03-07 18:27:27+00:00,549,8.5,1,130
2023-03-12 10:29:47+00:00,549,8.0,1,130
2023-03-16 15:59:38+00:00,418,11.0,1,130
2023-03-17 05:25:00+00:00,450,9.5,1,130
2023-03-26 05:59:21+00:00,446,10.0,1,130
2023-04-04 09:46:18+00:00,457,9.0,1,130
2023-04-20 11:28:31+00:00,441,10.5,1,130
2023-04-26 07:59:20+00:00,504,10.0,1,130
2023-05-03 14:45:54+00:00,486,8.5,1,130
2023-05-04 08:30:48+00:00,421,9.5,1,130
2023-05-10 07:59:37+00:00,490,11.0,1,130
2023-05-27 09:59:19+00:00,504,10.0,1,130
2023-05-29 22:12:57+00:00,468,9.0,1,130
2023-06-12 14:59:46+00:00,475,8.0,1,130
2023-06-21 11:36:36+00:00,436,9.5,1,130
2023-06-24 14:36:20+00:00,565,10.5,1,130
2023-06-27 11:59:18+00:00,406,10.0,1,130
2023-06-29 11:04:21+00:00,479,8.5,1,130
2023-07-03 23:59:36+00:00,425,11.0,1,130
2023-07-24 10:39:36+00:00,417,9.0,1,130
2023-07-28 13:59:17+00:00,485,10.0,1,130
2023-08-08 14:42:24+00:00,517,9.5,1,130
2023-08-25 07:22:48+00:00,427,8.5,1,130
2023-08-27 15:59:35+00:00,501,11.0,1,130
2023-08-28 15:59:16+00:00,435,10.0,1,130
2023-08-28 17:44:09+00:00,507,10.5,1,130
2023-09-12 19:29:45+00:00,413,8.0,1,130
2023-09-17 23:06:15+00:00,382,9.0,1,130
2023-09-25 17:48:12+00:00,412,9.5,1,130
2023-09-28 17:59:15+00:00,531,10.0,1,130
2023-10-21 03:41:15+00:00,456,8.5,1,130
2023-10-21 07:59:34+00:00,435,11.0,1,130
2023-10-29 19:59:14+00:00,443,10.0,1,130
2023-11-01 20:51:58+00:00,420,10.5,1,130
2023-11-12 11:32:54+00:00,397,9.0,1,130
2023-11-12 20:54:00+00:00,450,9.5,1,130
2023-11-29 21:59:13+00:00,419,10.0,1,130
