Date,Price,size,collab,retail price
2019-05-11 00:00:00+00:00,799,10.5,1,175
2019-05-11 00:00:00+00:00,782,11.0,1,175
2019-05-11 00:00:00+00:00,987,9.0,1,175
2019-05-11 00:00:00+00:00,994,8.5,1,175
2019-05-11 00:00:00+00:00,980,8.0,1,175
2019-05-11 00:00:00+00:00,928,9.5,1,175
2019-05-11 00:00:00+00:00,866,10.0,1,175
2019-05-17 15:02:06+00:00,845,10.5,1,175
2019-05-20 04:40:12+00:00,796,11.0,1,175
2019-05-22 01:33:30+00:00,887,10.0,1,175
2019-05-22 13:42:51+00:00,988,9.5,1,175
2019-05-22 18:02:28+00:00,1063,8.0,1,175
2019-05-23 14:23:59+00:00,1066,9.0,1,175
2019-05-24 06:04:12+00:00,823,10.5,1,175
2019-05-28 04:50:54+00:00,1091,8.5,1,175
2019-05-29 09:20:24+00:00,772,11.0,1,175
2019-05-30 21:06:18+00:00,809,10.5,1,175
2019-06-02 03:07:00+00:00,908,10.0,1,175
2019-06-03 03:25:42+00:00,1006,9.5,1,175
2019-06-03 12:04:56+00:00,1089,8.0,1,175
2019-06-05 04:47:58+00:00,1093,9.0,1,175
2019-06-06 12:08:24+00:00,820,10.5,1,175
2019-06-07 14:00:36+00:00,773,11.0,1,175
2019-06-13 03:10:30+00:00,922,10.5,1,175
2019-06-13 04:40:30+00:00,1145,10.0,1,175
2019-06-14 09:41:48+00:00,1393,8.5,1,175
2019-06-14 17:08:33+00:00,1319,9.5,1,175
2019-06-15 06:07:24+00:00,1374,8.0,1,175
2019-06-16 18:40:48+00:00,950,11.0,1,175
2019-06-17 19:11:57+00:00,1436,9.0,1,175
2019-06-19 18:12:36+00:00,1130,10.5,1,175
2019-06-24 06:14:00+00:00,1235,10.0,1,175
2019-06-25 23:21:00+00:00,962,11.0,1,175
2019-06-26 06:51:24+00:00,1341,9.5,1,175
2019-06-26 09:14:42+00:00,1075,10.5,1,175
2019-06-27 00:09:52+00:00,1436,8.0,1,175
2019-06-30 09:35:56+00:00,1384,9.0,1,175
2019-07-01 14:32:42+00:00,1423,8.5,1,175
2019-07-03 00:16:48+00:00,1032,10.5,1,175
2019-07-05 04:01:12+00:00,905,11.0,1,175
2019-07-05 07:47:30+00:00,1130,10.0,1,175
2019-07-07 20:34:15+00:00,1294,9.5,1,175
2019-07-08 18:12:20+00:00,1380,8.0,1,175
2019-07-09 15:18:54+00:00,987,10.5,1,175
2019-07-12 23:59:55+00:00,1390,9.0,1,175
2019-07-14 08:41:24+00:00,900,11.0,1,175
2019-07-16 06:21:00+00:00,965,10.5,1,175
2019-07-16 09:21:00+00:00,1136,10.0,1,175
2019-07-18 19:23:36+00:00,1506,8.5,1,175
2019-07-19 10:17:06+00:00,1368,9.5,1,175
2019-07-20 12:14:48+00:00,1469,8.0,1,175
2019-07-22 21:23:06+00:00,1028,10.5,1,175
2019-07-23 13:21:36+00:00,935,11.0,1,175
2019-07-25 14:23:54+00:00,1538,9.0,1,175
2019-07-27 10:54:30+00:00,1245,10.0,1,175
2019-07-29 12:25:12+00:00,1048,10.5,1,175
2019-07-30 23:59:57+00:00,1543,9.5,1,175
2019-08-01 06:17:16+00:00,1684,8.0,1,175
2019-08-01 18:01:48+00:00,987,11.0,1,175
2019-08-05 00:14:30+00:00,1855,8.5,1,175
2019-08-05 03:27:18+00:00,1118,10.5,1,175
2019-08-07 04:47:53+00:00,1784,9.0,1,175
2019-08-07 12:28:00+00:00,1385,10.0,1,175
2019-08-10 22:42:00+00:00,1033,11.0,1,175
